user,comment,like
tgradtyz_ei,bucin boleh goblok jangan.,559
tria394,Jadi miris liatnya ketika kita sebagai pegawai di tuntut untuk profesional dalam bertugas terkadang hal semacam ini ingin sekali untuk melawan balik tapi harus berfikir ulang ketika kita harus mempertahankan pekerjaan..,303
adityaadharmawan,Ketika orang norak naik pesawat,251
hocsut_2021,wkwkwkwk.. ikat aja di turbin trus bawa take off..,171
annopetonengan,Fix langsung di blacklist maskapai tuh psngan.,43
gega.wayan,Arogan itu sifat dasar mereka ya? Serius nanya,34
syahidr._,Buang aja dari pesawat org kek gitu mah,145
sabiqfahrizzulhaq123,Suruh duduk berdua di atas pesawat,32
atikachandra,Ga heran klo orang sana mah,57
ilynt_,"Ya klo logikanya sih seharusnya dia marah nya yang duduk disebelah pacarnya yang gamau pindah, ini malah ke pramugarinya ğŸ˜‚ğŸ¤™",14
imdotzz,Cina lagi cina lagi,238
lmfirmantahir05,Lempar sja dri pesawat... Manusia bgtu... Tdk tau aturanğŸ”¥,24
abiyaveiro,CINA YA???? oh gak HERAN GUE,17
enauefael_23,Tolol boleh ngeyel jangan,26
sya.fiiqq,Bucin bngt njir,8
faladin3,Katanya cinta wanita kok menyakiti wanita,5
shohibul.hasan98,"Bucin boleh, gapunya akhlak jangan",5
zulfikartama,"Turunkan pas dikeringkan 25000 feet, biar tau rasanya air panas jadi dingin.",4
annie.pelupessy,apa salah pramugariğŸ˜‚ğŸ˜‚ğŸ˜‚,3
tyra.pouch,Bukannya minta maaf ehh malah ikut ikutan sama aja,2
wahyudi_anugra,Auto banned,2
eghaaaa26,"Klo di Indonesia bercanda bawah bom aja langsung di tahan, ini mau meledakkan... Hahaha",19
ariosadewooo,Iket aja di bagian sayap pesawat biar merasakan sensasi terbang yg real,2
av_amirapuspita,Keluarkan Dy dari dalam pesawatğŸ˜¤,1
i_novashi,Gak jelas org kek gitu,1
dave.agape,Damn..,1
toko_outdoor_sidoarjo,Yaelah c lagi....,1
lysda_reviyanti,@rivaldi_sutardiansyah14 ğŸ˜…,1
tfqrrhmn__,@rafiiansyach @robithoh_al_alam jancuk gak tuh,0
sorayabalkis_,Ternyata ada yg lebih bucin teman pasti member kebucinannya gold @zntlmw_,0
ay_razka,Gak ada akhlak emang,1
tubagusmastur,turunin bae bang orangnya di tengah jalan,1
mr.enristo,"Mudah mudahan ke depannya, banyak orang yg menentukan menolong daripada merecord suatu kejadian ğŸ¤²ğŸ¼",1
masazizbarulagi,begitulah pengikut komunisme,4
avfan29,"Always china, china & china yg selalu bermasalah & nyari masalah ğŸ˜‚",11
whyhrw,Cina rusuh amat sih dimana mana,1
queentles.nbla,Bucin gapunya otak,5
andreno____________________,Kalo gw si bodo amad sama hukum gw siram balik,3
m_ricardo420,"Oalah,,cina...cina",8
mrezkiyanuar,"China lagi, warga negara sana hobi banget buat masalah ğŸ˜¥ğŸ˜¥",8
alfareeell,"Cina aneh""",2
mhhapizh_,Ga ada otak,0
badlandjohny,Bucinn Goblokkk,2
vickdavv,Goblok banget sih,0
ajipras_2005,Bucin terooos anjink,0
geto7221,Lemparin keluar pasangan itu,0
bukanabian,Bucin kok goblok,0
ay.wonder_women,kekoploanğŸ˜¥,0
riabatubara30,Buxin goblok ğŸ˜‚,0
ksunandi,Gak waras sih itu mah ğŸ˜¡,0
